team_fifa,team_iso3,team_zh,group_label,head_coach,formation_primary,formation_secondary,tactical_label,tactical_description,key_player_uids,squad_status,metadata_json
Czechia,CZE,捷克,A,Miroslav Koubek,3-4-2-1,"3-5-2,4-2-3-1",老派务实、重纪律和对抗,老派务实、重纪律和对抗，通常更愿意把比赛压进可控节奏。 优先保证中后场密度，靠绍切克、希克等高点做定位球和二点球；边翼卫/边后卫传中和中路抢点是主要得分路径。,"25041687,25042141,25019899,25055083,25038517",final_26,"{""key_player_names"": [""Tomáš Souček"", ""Patrik Schick"", ""Vladimír Darida"", ""Ladislav Krejčí"", ""Vladimír Coufal""], ""raw_tactics"": {""squad_status_raw"": ""26人最终名单（FIFA官方Version 1，2026-06-12 04:24 UTC）"", ""coaching_style"": ""老派务实、重纪律和对抗，通常更愿意把比赛压进可控节奏。"", ""tactical_focus"": ""优先保证中后场密度，靠绍切克、希克等高点做定位球和二点球；边翼卫/边后卫传中和中路抢点是主要得分路径。""}}"
Mexico,MEX,墨西哥,A,Javier Aguirre,4-3-3,"4-2-3-1,4-4-2",阿吉雷偏经验主义和结果导向,阿吉雷偏经验主义和结果导向，强调整体站位、比赛管理和更稳的防守覆盖。 墨西哥会在4后卫基础上用阿尔瓦雷斯保护中路，边路依靠维加、胡尔塔等人制造单点突破，希门尼斯/希门尼斯式中锋提供支点。,"51013463,51054011,5666492,51049312,51052239",final_26,"{""key_player_names"": [""Raúl Jiménez"", ""Edson Álvarez"", ""Guillermo Ochoa"", ""Jesús Gallardo"", ""Orbelín Pineda""], ""raw_tactics"": {""squad_status_raw"": ""26人最终名单（FIFA官方Version 1，2026-06-12 04:24 UTC）"", ""coaching_style"": ""阿吉雷偏经验主义和结果导向，强调整体站位、比赛管理和更稳的防守覆盖。"", ""tactical_focus"": ""墨西哥会在4后卫基础上用阿尔瓦雷斯保护中路，边路依靠维加、胡尔塔等人制造单点突破，希门尼斯/希门尼斯式中锋提供支点。""}}"
South Africa,RSA,南非,A,Hugo Broos,4-2-3-1,"4-3-3,4-4-2",布罗斯的南非队防守组织清晰,布罗斯的南非队防守组织清晰，偏向用稳定核心和快速转换解决进攻效率。 以马梅洛迪日落系球员为技术底盘，门将罗恩文-威廉姆斯参与出球，莫科埃纳负责中场推进和远射，前场用福斯特、阿波利斯冲击身后。,"65010145,65010100,65033785,65029935,65039540",final_26,"{""key_player_names"": [""Ronwen Williams"", ""Themba Zwane"", ""Teboho Mokoena"", ""Aubrey Modiba"", ""Lyle Foster""], ""raw_tactics"": {""squad_status_raw"": ""26人最终名单（FIFA官方Version 1，2026-06-12 04:24 UTC）"", ""coaching_style"": ""布罗斯的南非队防守组织清晰，偏向用稳定核心和快速转换解决进攻效率。"", ""tactical_focus"": ""以马梅洛迪日落系球员为技术底盘，门将罗恩文-威廉姆斯参与出球，莫科埃纳负责中场推进和远射，前场用福斯特、阿波利斯冲击身后。""}}"
Korea Republic,KOR,韩国,A,Hong Myung-bo,4-2-3-1,"4-3-3,4-4-2",洪明甫强调纪律、体能和快速转换,洪明甫强调纪律、体能和快速转换，防守端更重视中路保护。 金玟哉是防线核心，孙兴慜、黄喜灿负责从边路或肋部打纵深，李在城和李刚仁类型球员负责连接前后场。,"92020288,66032157,66014588,66034886,89063073",final_26,"{""key_player_names"": [""Son Heung-min"", ""Lee Jae-sung"", ""Hwang Hee-chan"", ""Hwang In-beom"", ""Kim Min-jae""], ""raw_tactics"": {""squad_status_raw"": ""26人最终名单（FIFA官方Version 1，2026-06-12 04:24 UTC）"", ""coaching_style"": ""洪明甫强调纪律、体能和快速转换，防守端更重视中路保护。"", ""tactical_focus"": ""金玟哉是防线核心，孙兴慜、黄喜灿负责从边路或肋部打纵深，李在城和李刚仁类型球员负责连接前后场。""}}"
Bosnia And Herzegovina,BIH,波黑,B,Sergej Barbarez,4-2-3-1,"3-5-2,4-4-2",巴尔巴雷兹更重视团队情绪和对抗强度,巴尔巴雷兹更重视团队情绪和对抗强度，体系上会围绕锋线支点和中场经验做取舍。 波黑适合用双前锋或单中锋支点牵制，边路传中和定位球威胁明显；防守端关键是避免中场被速度型对手拉开。,"8502440,92029805,91158071,21026981,93145052",final_26,"{""key_player_names"": [""Edin Džeko"", ""Sead Kolašinac"", ""Ermedin Demirović"", ""Amir Hadžiahmetović"", ""Benjamin Tahirović""], ""raw_tactics"": {""squad_status_raw"": ""26人最终名单（FIFA官方Version 1，2026-06-12 04:24 UTC）"", ""coaching_style"": ""巴尔巴雷兹更重视团队情绪和对抗强度，体系上会围绕锋线支点和中场经验做取舍。"", ""tactical_focus"": ""波黑适合用双前锋或单中锋支点牵制，边路传中和定位球威胁明显；防守端关键是避免中场被速度型对手拉开。""}}"
Canada,CAN,加拿大,B,Jesse Marsch,4-2-2-2,"4-3-3,4-2-3-1",马什是典型高压迫、纵向推进型教练,马什是典型高压迫、纵向推进型教练，强调夺回球权后的第一时间向前。 戴维、戴维斯、布坎南等速度点适合压迫后直塞反击；中场需要在高位压迫和身后保护之间保持平衡。,"18108540,72044151,20041862,72040331,72052880",final_26,"{""key_player_names"": [""Jonathan David"", ""Cyle Larin"", ""Alphonso Davies"", ""Jonathan Osorio"", ""Tajon Buchanan""], ""raw_tactics"": {""squad_status_raw"": ""26人最终名单（FIFA官方Version 1，2026-06-12 04:24 UTC）"", ""coaching_style"": ""马什是典型高压迫、纵向推进型教练，强调夺回球权后的第一时间向前。"", ""tactical_focus"": ""戴维、戴维斯、布坎南等速度点适合压迫后直塞反击；中场需要在高位压迫和身后保护之间保持平衡。""}}"
Qatar,QAT,卡塔尔,B,Julen Lopetegui,4-3-3,"4-2-3-1,4-1-4-1",洛佩特吉偏西班牙式控球与前场压迫,洛佩特吉偏西班牙式控球与前场压迫，重视后场出球结构和边路宽度。 阿菲夫与阿尔莫埃兹-阿里仍是进攻核心，球队会通过中场三角短传进入前场，但面对高压时可能回到更直接的转换。,"23046562,16183022,18091019,12038077,23117278",final_26,"{""key_player_names"": [""Hassan Al-Haydos"", ""Almoez Ali"", ""Akram Afif"", ""Boualem Khoukhi"", ""Abdulaziz Hatem""], ""raw_tactics"": {""squad_status_raw"": ""26人最终名单（FIFA官方Version 1，2026-06-12 04:24 UTC）"", ""coaching_style"": ""洛佩特吉偏西班牙式控球与前场压迫，重视后场出球结构和边路宽度。"", ""tactical_focus"": ""阿菲夫与阿尔莫埃兹-阿里仍是进攻核心，球队会通过中场三角短传进入前场，但面对高压时可能回到更直接的转换。""}}"
Switzerland,SUI,瑞士,B,Murat Yakin,3-4-2-1,"4-2-3-1,3-5-2",雅金擅长在三中卫和四后卫之间切换,雅金擅长在三中卫和四后卫之间切换，比赛计划通常非常针对对手。 瑞士靠扎卡控制节奏，利用恩多耶、奥卡福等边路速度打开空间；防守时可退成五后卫保持禁区保护。,"98003821,98003635,98029385,98006034,98031331",final_26,"{""key_player_names"": [""Granit Xhaka"", ""Ricardo Rodriguez"", ""Breel Embolo"", ""Remo Freuler"", ""Manuel Akanji""], ""raw_tactics"": {""squad_status_raw"": ""26人最终名单（FIFA官方Version 1，2026-06-12 04:24 UTC）"", ""coaching_style"": ""雅金擅长在三中卫和四后卫之间切换，比赛计划通常非常针对对手。"", ""tactical_focus"": ""瑞士靠扎卡控制节奏，利用恩多耶、奥卡福等边路速度打开空间；防守时可退成五后卫保持禁区保护。""}}"
Brazil,BRA,巴西,C,Carlo Ancelotti,4-3-3,"4-2-3-1,4-4-2",安切洛蒂以灵活、平衡和球星关系管理见长,安切洛蒂以灵活、平衡和球星关系管理见长，不会把体系压过球员特点。 巴西更可能用双后腰保护攻守转换，让维尼修斯、罗德里戈、拉菲尼亚等人获得边路和肋部一对一；关键是前场压迫后的二次进攻。,"19163495,19061518,19226741,19058734,19024412",final_26,"{""key_player_names"": [""Marquinhos"", ""Casemiro"", ""Lucas Paquetá"", ""Alisson"", ""NEYMAR JR""], ""raw_tactics"": {""squad_status_raw"": ""26人最终名单（FIFA官方Version 1，2026-06-12 04:24 UTC）"", ""coaching_style"": ""安切洛蒂以灵活、平衡和球星关系管理见长，不会把体系压过球员特点。"", ""tactical_focus"": ""巴西更可能用双后腰保护攻守转换，让维尼修斯、罗德里戈、拉菲尼亚等人获得边路和肋部一对一；关键是前场压迫后的二次进攻。""}}"
Haiti,HAI,海地,C,Sébastien Migné,4-2-3-1,"4-4-2,5-4-1",米涅偏务实和纪律化,米涅偏务实和纪律化，适合弱势局面下的紧凑防守与快速反击。 海地会尽量压缩中路空间，利用杜克、纳宗等前场球员冲击身后；定位球和对手失误是重要进攻来源。,"85121512,8442435,72051178,82050160,19165169",final_26,"{""key_player_names"": [""Duckens Nazon"", ""Johny Placide"", ""Frantzdy Pierrot"", ""Ricardo Adé"", ""ARCUS Carlens""], ""raw_tactics"": {""squad_status_raw"": ""26人最终名单（FIFA官方Version 1，2026-06-12 04:24 UTC）"", ""coaching_style"": ""米涅偏务实和纪律化，适合弱势局面下的紧凑防守与快速反击。"", ""tactical_focus"": ""海地会尽量压缩中路空间，利用杜克、纳宗等前场球员冲击身后；定位球和对手失误是重要进攻来源。""}}"
